npi	specialty	taxonomy_code	organization_name	city	state	gender	credentials	claims_2022	beneficiaries_2022	diabetes_share_2022	glp1_penetration_2022	branded_share_2022	drug_diversity_2022	has_tirzepatide_2022	total_payments_2022	novo_nordisk_payments	eli_lilly_payments	has_research_payments	adoption_archetype	pharma_engagement_tier	geo_cluster	network_group	claims_2023	beneficiaries_2023	diabetes_share_2023	glp1_penetration_2023	branded_share_2023	drug_diversity_2023	has_tirzepatide_2023	tirzepatide_claims_2023	part_d_rows_2023	rank_within
1043706682	Family Medicine	207QA0505X	8303 N STEMMONS FWY STE 100	Dallas	TX	M	MD	672.0	266.0	0.15029761904761904	0.10891089108910891	0.16666666666666666	3	0	259.61	175.57	0.0	0	Conservative_PCP	Low_Engagement	TX_Dallas	8303 N STEMMONS FWY STE 100	606.0	156.0	0.12706270627062707	0.0	0.25	3	0	0.0	24	1.0
1407210909	Internal Medicine	207R00000X	5200 HARRY HINES BLVD	Dallas	TX	M	MD	938.0	180.0	0.2281449893390192	0.10747663551401869	0.3125	7	0	0.0	0.0	0.0	0	Conservative_PCP	Low_Engagement	TX_Dallas	5200 HARRY HINES BLVD	2262.0	815.0	0.18037135278514588	0.21568627450980393	0.3548387096774194	10	0	0.0	62	1.0
1356633572	Family Medicine	207Q00000X	5201 HARRY HINES BLVD	Dallas	TX	M	M.D.	1142.0	340.0	0.23029772329246936	0.10266159695817491	0.16666666666666666	7	0	19.36	0.0	0.0	0	Conservative_PCP	Low_Engagement	TX_Dallas	5201 HARRY HINES BLVD	2330.0	717.0	0.2553648068669528	0.14285714285714285	0.1956521739130435	9	0	0.0	46	2.0
1932368768	Endocrinology	207RE0101X	2001 INWOOD RD	Dallas	TX	M	MD	933.0	140.0	0.44265809217577706	0.3196125907990315	0.5882352941176471	16	1	3098.91	469.3900000000001	141.04	0	Early_Adopter_Specialist	Medium_Engagement	TX_Dallas	2001 INWOOD RD	1237.0	218.0	0.5489086499595797	0.3490427098674521	0.6578947368421053	18	1	38.0	38	1.0
1942295647	Internal Medicine	207RN0300X	1411 N BECKLEY AVE STE 370	Dallas	TX	M	M.D.	525.0	77.0	0.16380952380952382	0.0	0.23809523809523808	1	0	810.5699999999999	22.19	0.0	0	Laggard	Low_Engagement	TX_Dallas	1411 N BECKLEY AVE STE 370	508.0	125.0	0.11811023622047244	0.0	0.25	1	0	0.0	16	1.0
1851470298	Family Medicine	207Q00000X	1143 S BUCKNER BLVD	Dallas	TX	F	D.O	501.0	83.0	0.17564870259481039	0.0	0.19047619047619047	4	0	0.0	0.0	0.0	0	Laggard	Low_Engagement	TX_Dallas	1143 S BUCKNER BLVD	377.0	46.0	0.1909814323607427	0.0	0.21052631578947367	4	0	0.0	19	1.0
1588769475	Internal Medicine	207R00000X	3310 LIVE OAK ST	Dallas	TX	F	MD	2362.0	549.0	0.2019475021168501	0.1530398322851153	0.38333333333333336	11	0	28.35	0.0	0.0	0	Mainstream_Specialist	Low_Engagement	TX_Dallas	3310 LIVE OAK ST	2286.0	519.0	0.16754155730533685	0.2010443864229765	0.4	10	0	0.0	55	1.0
1669882163	Internal Medicine	207R00000X	1441 N BECKLEY AVE	Dallas	TX	M	D.O	4350.0	1451.0	0.17839080459770115	0.10438144329896908	0.38095238095238093	14	0	0.0	0.0	0.0	0	Mainstream_Specialist	Low_Engagement	TX_Dallas	1441 N BECKLEY AVE	3416.0	1288.0	0.18618266978922718	0.15566037735849056	0.3815789473684211	13	0	0.0	76	2.0
1528024098	Endocrinology	207RE0101X	5323 HARRY HINES BLVD	Dallas	TX	M	MD	965.0	161.0	0.7253886010362695	0.10285714285714286	0.625	13	0	0.0	0.0	0.0	0	Mainstream_Specialist	Low_Engagement	TX_Dallas	5323 HARRY HINES BLVD	1080.0	205.0	0.725	0.17113665389527458	0.6388888888888888	14	0	0.0	36	1.0
1659765170	Endocrinology	207RE0101X	2001 INWOOD RD	Dallas	TX	F	M.D.	208.0	62.0	0.7644230769230769	0.9245283018867925	0.5714285714285714	4	1	0.0	0.0	0.0	0	Unclassified	Low_Engagement	TX_Dallas	2001 INWOOD RD	133.0	47.0	0.8120300751879699	0.8981481481481481	0.6	3	1	41.0	5	1.0
